english,spanish
a,a
about,sobre
act,Actuar
actually,Realmente
add,agregar
after,después
again,otra vez
against,contra
age,años
ago,atrás
air,aire
also,además
always,siempre
am,soy
among,entre
an,un
animal,animal
another,otro
answer,responder
appear,Aparecer
are,son
area,área
as,como
ask,pedir
at,a
back,espalda
ball,pelota
base,base
be,ser
beauty,belleza
because,porque
become,convertirse en
bed,cama
been,estado
before,antes de
begin,empezar
behind,detrás
best,mejor
better,mejor
better,mejor
between,Entre
big,grande
bird,pájaro
black,negro
blue,azul
boat,barco
book,libro
both,ambas cosas
bottom,abajo
box,caja
boy,chico
bring,traer
brought,trajo
build,construir
built,construido
busy,ocupado
but,pero
by,por
call,llamar
came,vino
can,pueden
car,coche
care,cuidado
carefully,con cuidado
carry,llevar
centre,centro
certain,cierto
change,cambio
check,controlar
child,niño
children,niños
city,ciudad
class,clase
clear,claro
close,cerca
cold,frío
colour,color
come,venir
common,común
community,comunidad
complete,completo
contain,contener
could,pudo
country,país
course,curso
create,crear
cried,llorado
cross,cruz
cry,llorar
cut,Corte
dark,oscuro
day,día
decide,decidir
decided,decidió
deep,profundo
develop,desarrollar
did,hizo
didn’t,no
different,diferente
do,hacer
does,lo hace
dog,perro
don’t,no
down,abajo
draw,dibujar
dream,sueño
drive,conducir
dry,seco
during,durante
early,temprano
earth,tierra
east,este
easy,fácil
eat,comer
effort,esfuerzo
enough,suficiente
every,cada
example,ejemplo
experience,experiencia
explain,explique
eye,ojo
face,cara
fact,hecho
family,familia
far,lejos
farm,granja
fast,rápido
father,padre
feel,sentir
feet,pies
few,pocos
field,campo
find,encontrar
fire,fuego
first,primero
fish,pez
five,cinco
fly,volar
follow,seguir
food,alimento
form,forma
found,fundar
four,cuatro
friend,amigo
from,de
front,frente
full,completo
game,juego
gave,dio
get,obtener
girl,chica
give,dar
go,Vamos
gold,oro
good,bueno
got,obtuvo
government,gobierno
great,estupendo
green,verde
ground,terrestre
group,grupo
grow,crecer
guy,tipo
had,tenido
half,mitad
happen,suceder
hard,difícil
has,posee
have,tener
he,él
hear,oír
heat,calor
heavy,pesado
help,ayuda
her,su
here,aquí
high,alto
his,su
hold,mantener
home,hogar
horse,caballo
hot,caliente
hour,hora
house,casa
hundred,ciento
I,yo
idea,ocurrencia
if,si
important,importante
in,en
include,incluir
into,dentro
is,es
island,isla
it,eso
just,sólo
keep,mantener
kind,tipo
king,rey
knew,supo
know,saber
known,conocido
language,idioma
large,largo
last,ultimo
late,tarde
later,luego
laugh,risa
lead,Plomo
learn,aprender
leave,abandonar
left,izquierda
less,menos
less,menos
let,dejar
letter,carta
life,vida
light,luz
like,me gusta
line,línea
list,lista
listen,escuchar
little,poco
live,En Vivo
long,largo
look,Mira
love,amor
low,bajo
machine,máquina
made,hecha
make,hacer
man,hombre
many,muchos
map,mapa
mark,Marcos
may,mayo
mean,significar
measure,medida
men,hombres
might,puede que
mile,milla
million,millón
mind,mente
minute,minuto
miss,señorita
money,dinero
month,mes
moon,luna
more,más
more,más
morning,Mañana
most,la mayoría
mother,madre
mountain,montaña
move,Muevete
much,mucho
music,música
must,deber
my,mi
name,nombre
nation,nación
near,cerca
need,necesitar
never,nunca
next,Siguiente
night,noche
no,no
north,norte
note,Nota
notice,aviso
noun,sustantivo
now,ahora
number,número
object,objeto
of,de
off,apagado
office,oficina
often,con frecuencia
oh,Oh
oil,aceite
old,antiguo
on,en
once,una vez
one,una
only,solamente
open,abierto
or,o
order,ordenar
other,otro
our,nuestro
out,afuera
over,sobre
page,página
pair,par
part,parte
pass,pasar
passed,pasó
people,gente
person,persona
picture,imagen
place,lugar
plan,plan
plane,plano
plant,planta
play,desempeñar
point,punto
power,energía
probably,probablemente
problem,problema
product,producto
provide,proveer
pull,jalar
put,poner
question,pregunta
quick,rápido
rain,lluvia
ran,corrió
reach,alcanzar
read,leer
ready,Listo
real,real
receive,recibir
record,registro
red,rojo
relationship,relación
remember,recuerda
right,Correcto
river,río
road,la carretera
rock,roca
room,habitación
round,redondo
rule,regla
run,correr
said,dijo
same,mismo
saw,sierra
say,decir
school,escuela
science,Ciencias
sea,mar
season,temporada
second,segundo
see,ver
seem,parecer
self,uno mismo
sentence,frase
serve,atender
set,establecer
several,varios
shape,forma
she,ella
ship,Embarcacion
short,corto
should,debería
show,mostrar
shown,mostrado
side,lado
simple,simple
since,ya que
sing,cantar
sit,sentar
six,seis
size,Talla
sleep,dormir
slow,lento
small,pequeña
snow,nieve
so,asi que
some,alguno
something,alguna cosa
song,canción
sound,sonido
south,sur
space,espacio
special,especial
spell,deletrear
spring,primavera
stand,pararse
star,estrella
start,comienzo
step,paso
stood,permaneció
stop,deténgase
story,historia
street,calle
strong,fuerte
study,estudiar
such,tal
summer,el verano
sun,sol
system,sistema
table,mesa
take,tomar
talk,hablar
teach,enseñar
tell,decir
than,que
that,que
the,la
their,sus
them,a ellos
then,después
there,allá
these,estas
they,ellos
thing,cosa
think,pensar
this,este
those,aquellos
though,aunque
thought,pensamiento
thousand,mil
three,Tres
through,mediante
time,tiempo
to,a
together,juntos
told,dicho
too,también
took,tomó
toward,hacia
town,pueblo
travel,viajar
tree,árbol
try,probar
turn,giro
two,dos
under,por debajo
understand,comprender
until,Hasta que
up,arriba
upon,al
us,a nosotros
usual,habitual
very,muy
voice,voz
vowel,vocal
wait,Espere
walk,caminar
want,desear
war,guerra
warm,cálido
was,estaba
watch,reloj
water,agua
wave,ola
way,camino
we,nosotros
week,semana
weight,peso
were,fueron
west,Oeste
what,qué
wheel,rueda
where,dónde
white,blanco
who,quién
why,por qué
will,voluntad
wind,viento
winter,invierno
with,con
without,sin que
woman,mujer
wonder,preguntarse
wood,madera
word,palabra
words,palabras
work,trabajar
world,mundo
would,haría
write,escribe
wrong,equivocado
year,año
yes,sí
you,tú
young,joven
